"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2023","147,92","143,97","157,38","141,32","55,47M","2,52%"
"01.01.2023","144,29","130,28","147,23","124,17","62,98M","11,05%"
"01.12.2022","129,93","148,21","150,92","125,87","1,68B","-12,23%"
"01.11.2022","148,03","155,25","155,38","134,40","80,38M","-3,46%"
"01.10.2022","153,34","138,21","157,50","134,37","1,87B","10,96%"
"01.09.2022","138,20","156,64","164,26","138,00","2,08B","-12,10%"
"01.08.2022","157,22","161,01","176,15","157,14","1,51B","-3,26%"
"01.07.2022","162,51","136,04","163,63","135,66","1,45B","18,86%"
"01.06.2022","136,72","149,90","151,74","129,04","1,75B","-8,14%"
"01.05.2022","148,84","156,71","166,48","132,61","2,40B","-5,59%"
"01.04.2022","157,65","174,03","178,49","155,38","1,69B","-9,71%"
"01.03.2022","174,61","164,69","179,61","150,10","2,18B","5,75%"
"01.02.2022","165,12","174,01","176,65","152,00","1,63B","-5,53%"
"01.01.2022","174,78","177,83","182,94","154,70","2,11B","-1,57%"
"01.12.2021","177,57","167,48","182,13","157,80","2,45B","7,42%"
"01.11.2021","165,30","148,99","165,70","147,48","1,69B","10,35%"
"01.10.2021","149,80","141,90","153,16","138,27","1,57B","5,87%"
"01.09.2021","141,50","152,83","157,26","141,27","1,80B","-6,80%"
"01.08.2021","151,83","146,36","153,49","144,50","1,46B","4,09%"
"01.07.2021","145,86","136,60","150,00","135,76","1,92B","6,50%"
"01.06.2021","136,96","125,08","137,41","123,13","1,61B","9,91%"
"01.05.2021","124,61","132,04","134,07","122,25","1,71B","-5,21%"
"01.04.2021","131,46","123,66","137,07","122,49","1,89B","7,62%"
"01.03.2021","122,15","123,75","128,72","116,21","2,65B","0,73%"
"01.02.2021","121,26","133,75","137,88","118,39","1,83B","-8,11%"
"01.01.2021","131,96","133,52","145,09","126,38","2,24B","-0,55%"
"01.12.2020","132,69","121,01","138,79","120,01","2,32B","11,46%"
"01.11.2020","119,05","109,11","121,99","107,32","2,12B","9,36%"
"01.10.2020","108,86","117,64","125,39","107,72","2,90B","-6,00%"
"01.09.2020","115,81","132,76","137,98","103,10","3,89B","-10,25%"
"01.08.2020","129,04","108,20","131,00","107,89","4,07B","21,44%"
"01.07.2020","106,26","91,28","106,42","89,14","3,02B","16,51%"
"01.06.2020","91,20","79,44","93,09","79,30","3,24B","14,75%"
"01.05.2020","79,48","71,56","81,06","71,46","2,81B","8,21%"
"01.04.2020","73,45","61,62","73,63","59,23","3,27B","15,54%"
"01.03.2020","63,57","70,57","76,00","53,15","6,28B","-6,98%"
"01.02.2020","68,34","76,08","81,81","64,09","3,02B","-11,68%"
"01.01.2020","77,38","74,06","81,96","73,19","2,94B","5,41%"
"01.12.2019","73,41","66,82","73,49","64,07","2,40B","9,88%"
"01.11.2019","66,81","62,38","67,00","62,29","1,80B","7,43%"
"01.10.2019","62,19","56,27","62,44","53,78","2,49B","11,07%"
"01.09.2019","55,99","51,61","56,60","51,05","2,19B","7,28%"
"01.08.2019","52,19","53,48","54,51","48,15","2,73B","-2,01%"
"01.07.2019","53,26","50,79","55,34","49,60","1,90B","7,64%"
"01.06.2019","49,48","43,90","50,39","42,57","2,06B","13,05%"
"01.05.2019","43,77","52,47","53,83","43,75","2,96B","-12,76%"
"01.04.2019","50,17","47,91","52,12","47,09","2,02B","5,64%"
"01.03.2019","47,49","43,57","49,42","42,38","2,60B","9,70%"
"01.02.2019","43,29","41,74","43,97","41,48","1,89B","4,04%"
"01.01.2019","41,61","38,72","42,25","35,50","3,31B","5,50%"
"01.12.2018","39,44","46,12","46,23","36,65","3,60B","-11,67%"
"01.11.2018","44,65","54,76","55,59","42,56","3,85B","-18,40%"
"01.10.2018","54,72","56,99","58,37","51,52","3,16B","-3,05%"
"01.09.2018","56,44","57,10","57,42","53,83","2,72B","-0,83%"
