Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,29.484375,29.484375,28.6875,28.84375,18.979511260986328,82800
2000-01-04,28.46875,28.609375,27.9375,28.046875,18.45515251159668,146900
2000-01-05,28.0,28.125,27.71875,27.921875,18.372905731201172,129200
2000-01-06,27.921875,28.375,27.8125,28.296875,18.61966323852539,54000
2000-01-07,28.625,29.375,28.625,29.375,19.32907485961914,32900
2000-01-10,29.53125,29.625,29.28125,29.375,19.32907485961914,122500
2000-01-11,29.46875,29.46875,29.0,29.0,19.08232307434082,109800
2000-01-12,28.921875,28.921875,28.65625,28.65625,18.85613441467285,39900
2000-01-13,29.0625,29.265625,28.84375,29.203125,19.215991973876953,189700
2000-01-14,29.28125,29.296875,28.890625,29.0,19.08232307434082,5700
2000-01-18,28.78125,29.09375,28.765625,28.96875,19.06175994873047,83600
2000-01-19,29.0,29.03125,28.875,28.875,19.000078201293945,62800
2000-01-20,29.0,29.0,28.375,28.6875,18.87669563293457,49600
2000-01-21,28.65625,28.765625,28.328125,28.328125,18.640220642089844,45700
2000-01-24,28.515625,28.546875,27.5,27.515625,18.105592727661133,51600
2000-01-25,27.15625,27.390625,26.8125,27.359375,18.002777099609375,89700
2000-01-26,27.265625,27.75,26.265625,27.578125,18.14671516418457,93400
2000-01-27,27.640625,28.28125,27.640625,27.734375,18.24952507019043,156000
2000-01-28,27.625,27.734375,27.0,27.0,17.766298294067383,17600
2000-01-31,26.859375,27.296875,26.859375,27.1875,17.889678955078125,45700
2000-02-01,27.15625,27.15625,26.90625,27.0,17.766298294067383,5500
2000-02-02,27.234375,27.234375,26.875,27.015625,17.776578903198242,3500
2000-02-03,27.125,27.15625,26.75,27.0,17.766298294067383,107900
2000-02-04,27.296875,27.296875,27.0625,27.109375,17.838279724121094,31400
2000-02-07,26.9375,26.9375,26.5,26.640625,17.529830932617188,43800
2000-02-08,27.09375,27.09375,26.703125,26.75,17.60179901123047,119600
2000-02-09,26.734375,26.734375,26.375,26.46875,17.416732788085938,58400
2000-02-10,26.3125,26.375,26.0,26.015625,17.118572235107422,65200
2000-02-11,26.0625,26.0625,25.328125,25.46875,16.758726119995117,50400
2000-02-14,25.5,25.90625,25.453125,25.875,17.026042938232422,4900
2000-02-15,25.921875,26.578125,25.8125,26.328125,17.324199676513672,21200
2000-02-16,26.421875,26.453125,26.15625,26.265625,17.28307342529297,77400
2000-02-17,26.375,26.4375,26.140625,26.375,17.355043411254883,16400
2000-02-18,26.484375,26.5,25.703125,25.796875,16.974628448486328,115300
2000-02-22,26.25,26.25,25.796875,26.21875,17.252233505249023,46900
2000-02-23,26.390625,26.390625,26.015625,26.015625,17.118572235107422,63100
2000-02-24,26.0,26.0,25.421875,25.78125,16.9643497467041,19500
2000-02-25,25.71875,25.828125,25.296875,25.328125,16.666181564331055,26700
2000-02-28,25.421875,25.8125,25.0,25.40625,16.717588424682617,463900
2000-02-29,25.625,25.75,25.578125,25.6875,16.902664184570312,9100
2000-03-01,25.703125,25.90625,25.5,25.546875,16.810134887695312,2408000
2000-03-02,25.78125,25.8125,25.40625,25.640625,16.871822357177734,421400
2000-03-03,26.03125,26.609375,26.015625,26.34375,17.334476470947266,41200
2000-03-06,26.25,26.484375,26.015625,26.234375,17.26251983642578,292100
2000-03-07,26.453125,26.453125,25.1875,25.1875,16.57366371154785,50300
2000-03-08,25.140625,25.453125,25.0,25.453125,16.748443603515625,350700
2000-03-09,25.5,25.859375,25.1875,25.71875,16.9232234954834,30400
2000-03-10,25.9375,26.25,25.734375,25.78125,16.9643497467041,114200
2000-03-13,25.171875,25.703125,25.171875,25.390625,16.707313537597656,86600
2000-03-14,25.75,25.75,25.171875,25.25,16.614782333374023,38600
2000-03-15,24.9375,26.34375,24.90625,26.265625,17.28307342529297,121300
2000-03-16,26.3125,27.734375,26.3125,27.6875,18.218685150146484,281000
2000-03-17,27.796875,28.125,27.390625,27.59375,18.194454193115234,34400
2000-03-20,27.859375,27.921875,27.5,27.75,18.29747772216797,129700
2000-03-21,27.4375,28.34375,27.4375,28.34375,18.688987731933594,11100
2000-03-22,28.0,28.34375,27.96875,28.21875,18.60655975341797,69100
2000-03-23,28.390625,29.03125,28.234375,28.875,19.039268493652344,19200
2000-03-24,28.984375,29.375,28.984375,29.046875,19.152597427368164,6200
2000-03-27,29.078125,29.078125,28.671875,28.6875,18.915632247924805,10300
2000-03-28,28.78125,29.0,28.609375,28.609375,18.864120483398438,8900
2000-03-29,28.78125,29.0625,28.5625,28.96875,19.101083755493164,5200
2000-03-30,29.0,29.453125,28.96875,29.15625,19.224714279174805,9300
2000-03-31,29.296875,29.515625,29.109375,29.203125,19.255617141723633,23400
2000-04-03,29.3125,29.40625,29.078125,29.328125,19.338048934936523,39400
2000-04-04,29.375,29.875,27.875,29.0,19.1216983795166,220700
2000-04-05,29.15625,29.265625,28.75,28.890625,19.049583435058594,7600
2000-04-06,29.203125,29.4375,29.09375,29.140625,19.214414596557617,23000
2000-04-07,29.390625,29.6875,29.296875,29.578125,19.502891540527344,136600
2000-04-10,29.625,29.75,29.421875,29.625,19.53380012512207,21100
2000-04-11,29.546875,30.078125,29.5,29.984375,19.77075958251953,313700
2000-04-12,29.6875,30.125,29.328125,29.453125,19.42046356201172,157700
2000-04-13,29.203125,29.625,29.203125,29.53125,19.47197723388672,590800
2000-04-14,28.21875,28.46875,27.59375,27.59375,18.194454193115234,19600
2000-04-17,27.921875,28.265625,27.6875,28.265625,18.637468338012695,20200
2000-04-18,28.25,28.515625,28.1875,28.375,18.7095890045166,10700
2000-04-19,28.453125,28.6875,28.25,28.484375,18.781705856323242,13700
2000-04-20,28.65625,28.71875,28.5,28.71875,18.936246871948242,2900
2000-04-24,28.5,29.109375,28.5,28.75,18.95684242248535,8900
2000-04-25,29.34375,30.328125,29.3125,30.25,19.94590187072754,13100
2000-04-26,30.390625,30.4375,29.609375,29.796875,19.647123336791992,515300
2000-04-27,29.359375,29.828125,29.359375,29.828125,19.667726516723633,6500
2000-04-28,29.84375,29.859375,29.5,29.625,19.53380012512207,9600
2000-05-01,29.734375,30.3125,29.609375,30.3125,19.987110137939453,2000
2000-05-02,29.96875,30.21875,29.71875,30.0,19.78105926513672,187400
2000-05-03,29.59375,29.6875,28.84375,29.0,19.1216983795166,52900
2000-05-04,28.859375,29.28125,28.828125,29.046875,19.152597427368164,29200
2000-05-05,29.28125,29.78125,29.171875,29.5625,19.492578506469727,7200
2000-05-08,29.703125,29.703125,29.5,29.546875,19.482280731201172,4000
2000-05-09,29.546875,29.546875,29.171875,29.3125,19.32774543762207,10400
2000-05-10,29.0625,29.109375,28.75,29.015625,19.13199806213379,2100
2000-05-11,29.453125,29.734375,29.453125,29.734375,19.605915069580078,2200
2000-05-12,29.875,30.09375,29.875,30.09375,19.84287452697754,4100
2000-05-15,30.0,30.59375,30.0,30.59375,20.172550201416016,9700
2000-05-16,30.625,31.0625,30.625,30.875,20.358001708984375,10500
2000-05-17,30.71875,30.71875,30.4375,30.671875,20.22406768798828,4900
2000-05-18,30.78125,30.78125,30.53125,30.53125,20.131345748901367,500
2000-05-19,30.0,30.0,29.6875,29.6875,19.57500648498535,3900
2000-05-22,29.0,29.203125,29.0,29.171875,19.235023498535156,5500
2000-05-23,29.171875,29.171875,28.90625,29.046875,19.152597427368164,800
2000-05-24,29.0,29.46875,29.0,29.46875,19.43077278137207,3800
2000-05-25,29.75,29.75,28.9375,28.9375,19.080482482910156,51700
2000-05-26,29.234375,29.234375,28.671875,28.78125,18.977458953857422,8900
2000-05-30,29.0625,29.453125,28.90625,29.296875,19.317441940307617,157200
2000-05-31,29.484375,29.90625,29.453125,29.5,19.451372146606445,2000
2000-06-01,29.546875,29.84375,29.546875,29.734375,19.605915069580078,1500
2000-06-02,30.078125,30.078125,29.6875,29.953125,19.75014877319336,86800
2000-06-05,30.1875,30.1875,29.875,29.90625,19.7192440032959,4500
2000-06-06,29.65625,29.875,29.65625,29.6875,19.57500648498535,204700
2000-06-07,29.75,29.96875,29.5,29.546875,19.482280731201172,20000
2000-06-08,29.4375,29.4375,29.0,29.078125,19.173206329345703,13000
2000-06-09,29.3125,29.40625,28.96875,29.1875,19.245323181152344,14900
2000-06-12,29.25,29.296875,29.046875,29.21875,19.265926361083984,63900
2000-06-13,29.09375,29.4375,28.953125,29.34375,19.34834861755371,13700
2000-06-14,29.46875,29.640625,29.1875,29.28125,19.30713653564453,57400
2000-06-15,29.546875,29.625,29.453125,29.5625,19.492578506469727,44500
2000-06-16,29.34375,29.34375,28.984375,28.984375,19.150897979736328,110400
2000-06-19,28.9375,28.9375,28.359375,28.6875,18.954748153686523,219100
2000-06-20,28.171875,28.375,27.796875,27.796875,18.366281509399414,8100
2000-06-21,27.703125,27.921875,27.703125,27.90625,18.43855094909668,11700
2000-06-22,27.671875,27.671875,27.296875,27.296875,18.035911560058594,76800
2000-06-23,27.671875,27.734375,27.59375,27.59375,18.232072830200195,2400
2000-06-26,28.0,28.265625,27.96875,28.25,18.665674209594727,18100
2000-06-27,28.3125,28.453125,28.265625,28.375,18.74827003479004,3800
2000-06-28,28.15625,28.734375,28.0,28.734375,18.98573112487793,203200
2000-06-29,28.5,28.5,27.78125,28.234375,18.65536117553711,22200
2000-06-30,28.234375,28.28125,28.09375,28.28125,18.68633460998535,7300
2000-07-03,28.40625,28.65625,28.40625,28.65625,18.93408966064453,4700
2000-07-05,28.71875,29.0,28.40625,28.40625,18.768909454345703,9000
2000-07-06,28.5625,28.5625,28.1875,28.328125,18.717296600341797,16800
2000-07-07,28.40625,28.609375,28.40625,28.46875,18.810213088989258,212800
2000-07-10,28.234375,28.75,28.15625,28.5,18.830862045288086,115800
2000-07-11,28.5,29.171875,28.46875,29.046875,19.192197799682617,8100
2000-07-12,29.3125,29.3125,29.109375,29.15625,19.26447105407715,5700
2000-07-13,29.234375,29.4375,29.15625,29.390625,19.419326782226562,4400
2000-07-14,29.59375,29.6875,29.4375,29.6875,19.615480422973633,1300
2000-07-17,29.796875,30.078125,29.796875,29.859375,19.72904396057129,13500
2000-07-18,30.0,30.015625,29.75,29.9375,19.78066062927246,17900
2000-07-19,29.859375,29.890625,29.421875,29.6875,19.615480422973633,10400
2000-07-20,30.078125,30.15625,29.90625,30.046875,19.85293197631836,5200
2000-07-21,30.109375,30.109375,29.78125,30.0,19.821962356567383,2400
2000-07-24,29.9375,30.03125,29.65625,29.78125,19.677427291870117,16000
2000-07-25,29.9375,29.9375,29.6875,29.84375,19.71871566772461,1800
2000-07-26,29.609375,29.609375,29.40625,29.46875,19.470949172973633,3700
2000-07-27,29.8125,29.8125,29.265625,29.265625,19.336746215820312,900
2000-07-28,29.0,29.0,28.28125,28.28125,18.68633460998535,39100
2000-07-31,28.5625,29.0,28.5625,28.71875,18.975399017333984,38500
2000-08-01,28.828125,29.0,28.828125,28.9375,19.11994171142578,97300
2000-08-02,28.75,29.0,28.75,28.8125,19.03734016418457,2700
2000-08-03,28.8125,29.0,28.703125,28.859375,19.068313598632812,3200
2000-08-04,29.0,29.25,29.0,29.21875,19.305753707885742,39500
2000-08-07,29.203125,30.078125,29.203125,30.078125,19.873580932617188,5600
2000-08-08,30.0,30.40625,29.96875,30.34375,20.049083709716797,5100
2000-08-09,30.75,30.75,30.359375,30.609375,20.224594116210938,22500
